         52669681 function calls (51841661 primitive calls) in 3601.814 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4308    0.022    0.000    0.452    0.000 __init__.py:1595(makeRecord)
      444    0.014    0.000    0.448    0.001 datetimes.py:599(astype)
      444    0.010    0.000    0.448    0.001 frame.py:3758(__getitem__)
     3546    0.035    0.000    0.444    0.000 _mixins.py:121(view)
      888    0.044    0.000    0.435    0.000 frame.py:7599(_dispatch_frame_op)
    11734    0.048    0.000    0.435    0.000 generic.py:3748(_maybe_update_cacher)
     4308    0.157    0.000    0.430    0.000 __init__.py:292(__init__)
     1776    0.024    0.000    0.427    0.000 indexing.py:892(_convert_tuple)
     7804    0.029    0.000    0.424    0.000 predictor.py:26(end)
    11100    0.419    0.000    0.419    0.000 utils.py:35(timestamps_after)
    86326    0.222    0.000    0.418    0.000 common.py:393(is_timedelta64_dtype)
      444    0.003    0.000    0.414    0.001 generic.py:2069(__array__)
      444    0.012    0.000    0.412    0.001 generic.py:3894(_take_with_is_copy)
       32    0.000    0.000    0.411    0.013 predictor.py:126(get_measurements_since)
     7770    0.059    0.000    0.411    0.000 base.py:1852(set_names)
